100 percent Bran,70,10,5,0.33
100 percent Natural Bran,120,2,8,1
All-Bran with Extra Fiber,50,14,8,0.5
Almond Delight,110,1,14,0.75
Apple Cinnamon Cheerios,110,1.5,10.5,0.75
Apple Jacks,110,1,11,1
Basic 4,130,2,18,0.75
Bran Chex,90,4,15,0.67
Bran Flakes,90,5,13,0.67
Cap n Crunch,120,0,12,0.75
Cheerios,110,2,17,1.25
Cinnamon Toast Crunch,120,0,13,0.75
Clusters,110,2,13,0.5
Cocoa Puffs,110,0,12,1
Corn Chex,110,0,22,1
Corn Flakes,100,1,21,1
Corn Pops,110,1,13,1
Count Chocula,110,0,12,1
Cracklin Oat Bran,110,4,10,0.5
Cream of Wheat (Quick),100,1,21,1
Crispix,110,1,21,1
Crispy Wheat and Raisins,100,2,11,0.75
Double Chex,100,1,18,0.75
Froot Loops,110,1,11,1
Frosted Flakes,110,1,14,0.75
Frosted Mini-Wheats,100,3,14,0.8
Fruit and Fibre Dates Walnuts and Oats,120,5,12,0.67
Fruitful Bran,120,5,14,0.67
Fruity Pebbles,110,0,13,0.75
Golden Crisp,100,0,11,0.88
Golden Grahams,110,0,15,0.75
Grape Nuts Flakes,100,3,15,0.88
Grape-Nuts,110,3,17,0.25
Great Grains Pecan,120,3,13,0.33
Honey Graham Ohs,120,1,12,1
Honey Nut Cheerios,110,1.5,11.5,0.75
Honey-comb,110,0,14,1.33
Just Right Crunchy Nuggets,110,1,17,1
Just Right Fruit and Nut,140,2,20,0.75
Kix,110,0,21,1.5
Life,100,2,12,0.67
Lucky Charms,110,0,12,1
Maypo,100,0,16,1
Muesli Raisins Dates and Almonds,150,3,16,1
Muesli Raisins Peaches and Pecans,150,3,16,1
Mueslix Crispy Blend,160,3,17,0.67
Multi-Grain Cheerios,100,2,15,1
Nut and Honey Crunch,120,0,15,0.67
Nutri-Grain Almond-Raisin,140,3,21,0.67
Nutri-grain Wheat,90,3,18,1
Oatmeal Raisin Crisp,130,1.5,13.5,0.5
Post Nat. Raisin Bran,120,6,11,0.67
Product 19,100,1,20,1
Puffed Rice,50,0,13,1
Puffed Wheat,50,1,10,1
Quaker Oat Squares,100,2,14,0.5
Quaker Oatmeal,100,2.7,-1,0.67
Raisin Bran,120,5,14,0.75
Raisin Nut Bran,100,2.5,10.5,0.5
Raisin Squares,90,2,15,0.5
Rice Chex,110,0,23,1.13
Rice Krispies,110,0,22,1
Shredded Wheat,80,3,16,1
Shredded Wheat n Bran,90,4,19,0.67
Shredded Wheat spoon size,90,3,20,0.67
Smacks,110,1,9,0.75
Special K,110,1,16,1
Strawberry Fruit Wheats,90,3,15,1
Total Corn Flakes,110,0,21,1
Total Raisin Bran,140,4,15,1
Total Whole Grain,100,3,16,1
Triples,110,0,21,0.75
Trix,110,0,13,1
Wheat Chex,100,3,17,0.67
Wheaties,100,3,17,1
Wheaties Honey Gold,110,1,16,0.75
